lp,firma,telefon,prog,score,werdykt_wulf,status_kontaktu,notatki,data_kontaktu,przyczyna,url_strony_jesli_maja
1,Atut,+48***11,70,70,HOT,,,,,
2,Amper,+48***67,70,70,HOT,,,,,
3,Wulkanizacja (Rzeszów Podkarpacka),+48***61,70,70,HOT,,,,,
4,EW Engine,+48***65,70,70,HOT,,,,,
5,Sołek CARS,+48***03,70,70,HOT,,,,,
6,Wulkanizacja (Rzeszów Sikorskiego),+48***75,70,70,HOT,,,,,
7,Auto-Spark Mechanika Pojazdowa,+48***73,70,70,HOT,,,,,
8,Mechanika Samochodowa Dariusz Dander,+48***19,70,70,HOT,,,,,
9,STAG TAD-MAT Tadeusz Czerkies,+48***82,70,70,HOT,,,,,
10,BJ auto serwis,+48***02,70,70,HOT,,,,,
11,Bosch Car Service - Przybyłowicz,+48***63,70,70,HOT,,,,,
12,ABCar-Auto,+48***09,70,70,HOT,,,,,
13,FUH Łukasz Lasota,+48***72,70,70,HOT,,,,,
14,Serwis opon "Auto-Luz",+48***28,70,70,HOT,,,,,
15,Auto Naprawa,+48***98,70,70,HOT,,,,,
16,KMB Auto Serwis,+48***31,70,70,HOT,,,,,
17,Mwm. Mechanika pojazdowa. Muł W.,+48***30,70,70,HOT,,,,,
18,Edek Opony (Krosno),+48***62,70,70,HOT,,,,,
19,Gal Mot (Krosno),+48***65,70,70,HOT,,,,,
20,Auto Serwis Skoti (Dębica),+48***91,70,70,HOT,,,,,
